n_cell_types,n_genes,n_cells,exp_num,method,time
3,20000,500,exp_01,Cepo,0.6640000000006694
3,20000,500,exp_01,Voom,24.86700000000019
3,20000,500,exp_01,MAST,509.08699999999953
3,20000,500,exp_01,DD,34.07800000000043
3,20000,500,exp_02,Cepo,0.5170000000007349
3,20000,500,exp_02,Voom,25.109999999999673
3,20000,500,exp_02,MAST,503.96500000000015
3,20000,500,exp_02,DD,33.777000000000044
3,20000,500,exp_03,Cepo,0.6419999999998254
3,20000,500,exp_03,Voom,24.097999999999956
3,20000,500,exp_03,MAST,510.10499999999956
3,20000,500,exp_03,DD,36.315999999999804
3,20000,500,exp_04,Cepo,0.5150000000003274
3,20000,500,exp_04,Voom,22.01800000000003
3,20000,500,exp_04,MAST,486.1940000000004
3,20000,500,exp_04,DD,34.06700000000001
3,20000,500,exp_05,Cepo,0.6019999999998618
3,20000,500,exp_05,Voom,22.5029999999997
3,20000,500,exp_05,MAST,514.7659999999996
3,20000,500,exp_05,DD,35.025000000000546
3,20000,500,exp_06,Cepo,0.5309999999999491
3,20000,500,exp_06,Voom,22.68000000000029
3,20000,500,exp_06,MAST,504.6749999999993
3,20000,500,exp_06,DD,34.762000000000626
3,20000,500,exp_07,Cepo,0.6289999999999054
3,20000,500,exp_07,Voom,19.521999999999935
3,20000,500,exp_07,MAST,496.4520000000002
3,20000,500,exp_07,DD,35.042999999999665
3,20000,500,exp_08,Cepo,0.5480000000006839
3,20000,500,exp_08,Voom,22.99499999999989
3,20000,500,exp_08,MAST,509.8009999999995
3,20000,500,exp_08,DD,34.0059999999994
3,20000,500,exp_09,Cepo,0.6149999999997817
3,20000,500,exp_09,Voom,25.391999999999825
3,20000,500,exp_09,MAST,509.9470000000001
3,20000,500,exp_09,DD,35.235999999999876
3,20000,500,exp_10,Cepo,0.5270000000000437
3,20000,500,exp_10,Voom,25.337000000000444
3,20000,500,exp_10,MAST,513.3949999999995
3,20000,500,exp_10,DD,33.66699999999946
3,20000,500,exp_11,Cepo,0.6170000000001892
3,20000,500,exp_11,Voom,25.302999999999884
3,20000,500,exp_11,MAST,505.9549999999999
3,20000,500,exp_11,DD,34.909999999999854
3,20000,500,exp_12,Cepo,0.5339999999996508
3,20000,500,exp_12,Voom,24.890000000000327
3,20000,500,exp_12,MAST,497.326
3,20000,500,exp_12,DD,33.73900000000049
3,20000,500,exp_13,Cepo,0.6170000000001892
3,20000,500,exp_13,Voom,25.239000000000487
3,20000,500,exp_13,MAST,508.95799999999963
3,20000,500,exp_13,DD,35.551000000000386
3,20000,500,exp_14,Cepo,0.5479999999997744
3,20000,500,exp_14,Voom,25.22100000000046
3,20000,500,exp_14,MAST,508.5069999999996
3,20000,500,exp_14,DD,34.853000000000065
3,20000,500,exp_15,Cepo,0.623000000000502
3,20000,500,exp_15,Voom,24.168000000000575
3,20000,500,exp_15,MAST,526.2070000000003
3,20000,500,exp_15,DD,36.88300000000072
3,20000,500,exp_16,Cepo,0.5500000000001819
3,20000,500,exp_16,Voom,24.71600000000035
3,20000,500,exp_16,MAST,505.5509999999995
3,20000,500,exp_16,DD,34.70899999999983
3,20000,500,exp_17,Cepo,0.6229999999995925
3,20000,500,exp_17,Voom,23.872999999999593
3,20000,500,exp_17,MAST,480.3869999999997
3,20000,500,exp_17,DD,34.97999999999956
3,20000,500,exp_18,Cepo,0.5520000000005894
3,20000,500,exp_18,Voom,26.416000000000167
3,20000,500,exp_18,MAST,522.8039999999992
3,20000,500,exp_18,DD,35.35100000000057
3,20000,500,exp_19,Cepo,0.6390000000001237
3,20000,500,exp_19,Voom,24.903000000000247
3,20000,500,exp_19,MAST,503.7950000000001
3,20000,500,exp_19,DD,34.88999999999942
3,20000,500,exp_20,Cepo,0.5279999999993379
3,20000,500,exp_20,Voom,25.548999999999978
3,20000,500,exp_20,MAST,502.7970000000005
3,20000,500,exp_20,DD,33.03899999999976
3,20000,1000,exp_01,Cepo,0.6430000000000291
3,20000,1000,exp_01,Voom,43.32999999999993
3,20000,1000,exp_01,MAST,632.8219999999992
3,20000,1000,exp_01,DD,43.83900000000085
3,20000,1000,exp_02,Cepo,0.6970000000001164
3,20000,1000,exp_02,Voom,42.853000000000975
3,20000,1000,exp_02,MAST,639.6589999999997
3,20000,1000,exp_02,DD,42.14800000000105
3,20000,1000,exp_03,Cepo,0.6699999999991633
3,20000,1000,exp_03,Voom,42.03099999999995
3,20000,1000,exp_03,MAST,640.6329999999998
3,20000,1000,exp_03,DD,43.11400000000049
3,20000,1000,exp_04,Cepo,0.657999999999447
3,20000,1000,exp_04,Voom,41.22399999999834
3,20000,1000,exp_04,MAST,633.503999999999
3,20000,1000,exp_04,DD,42.522000000000844
3,20000,1000,exp_05,Cepo,0.7169999999996435
3,20000,1000,exp_05,Voom,40.63599999999951
3,20000,1000,exp_05,MAST,615.4170000000004
3,20000,1000,exp_05,DD,43.02000000000044
3,20000,1000,exp_06,Cepo,0.6499999999996362
3,20000,1000,exp_06,Voom,41.715000000000146
3,20000,1000,exp_06,MAST,632.2219999999998
3,20000,1000,exp_06,DD,42.39400000000023
3,20000,1000,exp_07,Cepo,0.7969999999995707
3,20000,1000,exp_07,Voom,41.430999999999585
3,20000,1000,exp_07,MAST,641.5190000000002
3,20000,1000,exp_07,DD,42.86400000000049
3,20000,1000,exp_08,Cepo,0.7340000000003783
3,20000,1000,exp_08,Voom,41.240999999999985
3,20000,1000,exp_08,MAST,623.3889999999992
3,20000,1000,exp_08,DD,41.78500000000167
3,20000,1000,exp_09,Cepo,0.706000000000131
3,20000,1000,exp_09,Voom,41.65799999999945
3,20000,1000,exp_09,MAST,641.2930000000006
3,20000,1000,exp_09,DD,44.21799999999894
3,20000,1000,exp_10,Cepo,0.6790000000000873
3,20000,1000,exp_10,Voom,40.80899999999929
3,20000,1000,exp_10,MAST,635.3809999999994
3,20000,1000,exp_10,DD,42.13199999999961
3,20000,1000,exp_11,Cepo,0.7079999999996289
3,20000,1000,exp_11,Voom,40.98399999999947
3,20000,1000,exp_11,MAST,640.5410000000002
3,20000,1000,exp_11,DD,42.23399999999947
3,20000,1000,exp_12,Cepo,0.6880000000001019
3,20000,1000,exp_12,Voom,40.025000000001455
3,20000,1000,exp_12,MAST,624.0529999999999
3,20000,1000,exp_12,DD,43.63699999999881
3,20000,1000,exp_13,Cepo,0.7240000000001601
3,20000,1000,exp_13,Voom,41.16600000000017
3,20000,1000,exp_13,MAST,661.4019999999991
3,20000,1000,exp_13,DD,44.20300000000134
3,20000,1000,exp_14,Cepo,0.6810000000004948
3,20000,1000,exp_14,Voom,39.87200000000121
3,20000,1000,exp_14,MAST,636.0670000000009
3,20000,1000,exp_14,DD,41.25699999999961
3,20000,1000,exp_15,Cepo,0.725999999999658
3,20000,1000,exp_15,Voom,39.67399999999998
3,20000,1000,exp_15,MAST,644.2490000000007
3,20000,1000,exp_15,DD,43.642000000000735
3,20000,1000,exp_16,Cepo,0.6630000000004657
3,20000,1000,exp_16,Voom,38.440999999998894
3,20000,1000,exp_16,MAST,635.1670000000013
3,20000,1000,exp_16,DD,41.03899999999885
3,20000,1000,exp_17,Cepo,0.7289999999993597
3,20000,1000,exp_17,Voom,39.914999999999964
3,20000,1000,exp_17,MAST,590.7870000000003
3,20000,1000,exp_17,DD,41.30199999999968
3,20000,1000,exp_18,Cepo,0.6790000000000873
3,20000,1000,exp_18,Voom,44.13500000000113
3,20000,1000,exp_18,MAST,636.9719999999998
3,20000,1000,exp_18,DD,41.16600000000108
3,20000,1000,exp_19,Cepo,0.7090000000007421
3,20000,1000,exp_19,Voom,41.67199999999957
3,20000,1000,exp_19,MAST,629.9440000000004
3,20000,1000,exp_19,DD,42.350000000000364
3,20000,1000,exp_20,Cepo,0.6869999999998981
3,20000,1000,exp_20,Voom,42.841999999998734
3,20000,1000,exp_20,MAST,649.9940000000006
3,20000,1000,exp_20,DD,41.1150000000016
3,20000,5000,exp_01,Cepo,2.231999999999971
3,20000,5000,exp_01,Voom,173.71999999999935
3,20000,5000,exp_01,MAST,1675.5550000000003
3,20000,5000,exp_01,DD,110.07500000000073
3,20000,5000,exp_02,Cepo,2.4249999999992724
3,20000,5000,exp_02,Voom,174.6229999999996
3,20000,5000,exp_02,MAST,1685.469000000001
3,20000,5000,exp_02,DD,108.99300000000039
3,20000,5000,exp_03,Cepo,2.144000000000233
3,20000,5000,exp_03,Voom,171.125
3,20000,5000,exp_03,MAST,1879.3549999999996
3,20000,5000,exp_03,DD,120.66400000000067
3,20000,5000,exp_04,Cepo,2.404000000000451
3,20000,5000,exp_04,Voom,176.98600000000079
3,20000,5000,exp_04,MAST,1918.6200000000008
3,20000,5000,exp_04,DD,120.38500000000022
3,20000,5000,exp_05,Cepo,2.268000000000029
3,20000,5000,exp_05,Voom,169.3159999999989
3,20000,5000,exp_05,MAST,1703.437
3,20000,5000,exp_05,DD,110.19499999999971
3,20000,5000,exp_06,Cepo,2.478000000000975
3,20000,5000,exp_06,Voom,171.887999999999
3,20000,5000,exp_06,MAST,1686.192000000001
3,20000,5000,exp_06,DD,110.27099999999882
3,20000,5000,exp_07,Cepo,3.05199999999968
3,20000,5000,exp_07,Voom,171.85900000000038
3,20000,5000,exp_07,MAST,1649.2030000000013
3,20000,5000,exp_07,DD,112.12800000000061
3,20000,5000,exp_08,Cepo,2.4549999999999272
3,20000,5000,exp_08,Voom,174.31200000000172
3,20000,5000,exp_08,MAST,1653.9629999999997
3,20000,5000,exp_08,DD,109.15000000000146
3,20000,5000,exp_09,Cepo,2.1939999999995052
3,20000,5000,exp_09,Voom,170.39900000000125
3,20000,5000,exp_09,MAST,1906.4529999999995
3,20000,5000,exp_09,DD,120.25900000000001
3,20000,5000,exp_10,Cepo,2.440999999998894
3,20000,5000,exp_10,Voom,176.46399999999994
3,20000,5000,exp_10,MAST,1923.048999999999
3,20000,5000,exp_10,DD,115.3140000000003
3,20000,5000,exp_11,Cepo,2.477999999999156
3,20000,5000,exp_11,Voom,171.64899999999943
3,20000,5000,exp_11,MAST,1844.5570000000007
3,20000,5000,exp_11,DD,117.16200000000026
3,20000,5000,exp_12,Cepo,2.485999999998967
3,20000,5000,exp_12,Voom,175.0660000000007
3,20000,5000,exp_12,MAST,1847.9009999999998
3,20000,5000,exp_12,DD,115.9310000000005
3,20000,5000,exp_13,Cepo,2.1380000000008295
3,20000,5000,exp_13,Voom,176.13400000000001
3,20000,5000,exp_13,MAST,1951.25
3,20000,5000,exp_13,DD,119.92300000000068
3,20000,5000,exp_14,Cepo,2.4059999999990396
3,20000,5000,exp_14,Voom,176.2470000000012
3,20000,5000,exp_14,MAST,1979.2510000000002
3,20000,5000,exp_14,DD,115.40999999999985
3,20000,5000,exp_15,Cepo,2.7069999999985157
3,20000,5000,exp_15,Voom,175.47299999999996
3,20000,5000,exp_15,MAST,1869.7919999999995
3,20000,5000,exp_15,DD,116.61599999999999
3,20000,5000,exp_16,Cepo,2.433000000000902
3,20000,5000,exp_16,Voom,172.70900000000074
3,20000,5000,exp_16,MAST,1908.4680000000008
3,20000,5000,exp_16,DD,122.77100000000064
3,20000,5000,exp_17,Cepo,2.338999999999942
3,20000,5000,exp_17,Voom,166.36100000000079
3,20000,5000,exp_17,MAST,1670.2070000000003
3,20000,5000,exp_17,DD,104.17000000000007
3,20000,5000,exp_18,Cepo,2.4679999999989377
3,20000,5000,exp_18,Voom,169.625
3,20000,5000,exp_18,MAST,1692.8269999999993
3,20000,5000,exp_18,DD,115.77299999999923
3,20000,5000,exp_19,Cepo,2.363999999999578
3,20000,5000,exp_19,Voom,177.35000000000036
3,20000,5000,exp_19,MAST,1877.2729999999992
3,20000,5000,exp_19,DD,117.71899999999914
3,20000,5000,exp_20,Cepo,2.524999999999636
3,20000,5000,exp_20,Voom,177.91799999999967
3,20000,5000,exp_20,MAST,1893.786
3,20000,5000,exp_20,DD,115.8650000000016
3,20000,10000,exp_01,Cepo,4.923999999999069
3,20000,10000,exp_01,Voom,340.7039999999997
3,20000,10000,exp_01,MAST,3106.9120000000003
3,20000,10000,exp_01,DD,206.4399999999987
3,20000,10000,exp_02,Cepo,5.091000000000349
3,20000,10000,exp_02,Voom,354.33899999999994
3,20000,10000,exp_02,MAST,3109.9140000000007
3,20000,10000,exp_02,DD,204.44700000000012
3,20000,10000,exp_03,Cepo,4.975000000000364
3,20000,10000,exp_03,Voom,361.4290000000001
3,20000,10000,exp_03,MAST,3751.423999999999
3,20000,10000,exp_03,DD,247.19700000000012
3,20000,10000,exp_04,Cepo,4.837999999999738
3,20000,10000,exp_04,Voom,380.01700000000346
3,20000,10000,exp_04,MAST,3676.7949999999983
3,20000,10000,exp_04,DD,223.0490000000027
3,20000,10000,exp_05,Cepo,5.022000000000844
3,20000,10000,exp_05,Voom,346.6290000000008
3,20000,10000,exp_05,MAST,3462.2169999999987
3,20000,10000,exp_05,DD,220.59200000000055
3,20000,10000,exp_06,Cepo,5.140999999999622
3,20000,10000,exp_06,Voom,362.01900000000023
3,20000,10000,exp_06,MAST,3504.056999999997
3,20000,10000,exp_06,DD,221.15199999999822
3,20000,10000,exp_07,Cepo,5.032999999999447
3,20000,10000,exp_07,Voom,345.97099999999955
3,20000,10000,exp_07,MAST,2951.076000000001
3,20000,10000,exp_07,DD,196.4210000000021
3,20000,10000,exp_08,Cepo,4.69800000000032
3,20000,10000,exp_08,Voom,351.01000000000204
3,20000,10000,exp_08,MAST,2981.7920000000013
3,20000,10000,exp_08,DD,202.0020000000004
3,20000,10000,exp_09,Cepo,5.110000000000582
3,20000,10000,exp_09,Voom,355.6940000000013
3,20000,10000,exp_09,MAST,4007.4450000000015
3,20000,10000,exp_09,DD,244.39099999999962
3,20000,10000,exp_10,Cepo,5.1380000000026484
3,20000,10000,exp_10,Voom,359.92099999999846
3,20000,10000,exp_10,MAST,3974.7880000000005
3,20000,10000,exp_10,DD,223.94800000000032
3,20000,10000,exp_11,Cepo,5.193999999999505
3,20000,10000,exp_11,Voom,359.491
3,20000,10000,exp_11,MAST,3362.874
3,20000,10000,exp_11,DD,214.3760000000002
3,20000,10000,exp_12,Cepo,4.190999999998894
3,20000,10000,exp_12,Voom,347.21500000000015
3,20000,10000,exp_12,MAST,3316.001
3,20000,10000,exp_12,DD,219.61899999999878
3,20000,10000,exp_13,Cepo,5.102999999999156
3,20000,10000,exp_13,Voom,364.9539999999997
3,20000,10000,exp_13,MAST,3525.977999999999
3,20000,10000,exp_13,DD,224.65399999999863
3,20000,10000,exp_14,Cepo,5.233000000000175
3,20000,10000,exp_14,Voom,369.8240000000005
3,20000,10000,exp_14,MAST,3556.652000000002
3,20000,10000,exp_14,DD,217.8680000000022
3,20000,10000,exp_15,Cepo,5.217000000000553
3,20000,10000,exp_15,Voom,379.9449999999997
3,20000,10000,exp_15,MAST,3981.5699999999997
3,20000,10000,exp_15,DD,229.02200000000084
3,20000,10000,exp_16,Cepo,4.852999999999156
3,20000,10000,exp_16,Voom,343.8919999999998
3,20000,10000,exp_16,MAST,3861.977999999999
3,20000,10000,exp_16,DD,213.60599999999977
3,20000,10000,exp_17,Cepo,5.204999999999927
3,20000,10000,exp_17,Voom,345.478000000001
3,20000,10000,exp_17,MAST,3681.3600000000006
3,20000,10000,exp_17,DD,246.0699999999997
3,20000,10000,exp_18,Cepo,5.175999999999476
3,20000,10000,exp_18,Voom,376.10599999999977
3,20000,10000,exp_18,MAST,3740.7829999999994
3,20000,10000,exp_18,DD,218.99700000000303
3,20000,10000,exp_19,Cepo,5.109000000000378
3,20000,10000,exp_19,Voom,362.08400000000074
3,20000,10000,exp_19,MAST,3757.292999999998
3,20000,10000,exp_19,DD,238.41699999999764
3,20000,10000,exp_20,Cepo,5.205000000001746
3,20000,10000,exp_20,Voom,355.82700000000114
3,20000,10000,exp_20,MAST,3757.145999999997
3,20000,10000,exp_20,DD,226.48400000000038
